,AREA_TITLE,PRIM_STATE,AREA_TYPE,OCC_CODE,OCC_TITLE,TOT_EMP,JOBS_1000,A_MEAN,A_MEDIAN
0,Alabama,AL,2,15-1242,Database Administrators,1990,0.953,92930,88560
1,Alabama,AL,2,15-1243,Database Architects,310,0.147,117510,111330
2,Alabama,AL,2,15-2051,Data Scientists,1620,0.773,102970,105410
3,Alabama,AL,2,43-9021,Data Entry Keyers,1110,0.531,35050,33670
4,Alaska,AK,2,15-1242,Database Administrators,90,0.268,96600,93180
5,Alaska,AK,2,15-1243,Database Architects,40,0.129,111570,113800
6,Alaska,AK,2,15-2051,Data Scientists,210,0.651,88690,77400
7,Alaska,AK,2,43-9021,Data Entry Keyers,210,0.668,45230,42050
8,Arizona,AZ,2,15-1242,Database Administrators,1330,0.415,97340,96320
9,Arizona,AZ,2,15-1243,Database Architects,850,0.267,135080,130620
10,Arizona,AZ,2,15-2051,Data Scientists,4080,1.275,112460,106080
11,Arizona,AZ,2,43-9021,Data Entry Keyers,3750,1.173,44070,42800
12,Arkansas,AR,2,15-1242,Database Administrators,600,0.462,82780,79710
13,Arkansas,AR,2,15-1243,Database Architects,330,0.258,109380,101000
14,Arkansas,AR,2,15-2051,Data Scientists,470,0.366,104560,104320
15,Arkansas,AR,2,43-9021,Data Entry Keyers,880,0.682,36760,34840
16,California,CA,2,15-1242,Database Administrators,8360,0.463,119060,111090
17,California,CA,2,15-1243,Database Architects,5850,0.324,162820,159130
18,California,CA,2,15-2051,Data Scientists,36850,2.041,155450,136800
19,California,CA,2,43-9021,Data Entry Keyers,14040,0.777,47210,45680
20,Colorado,CO,2,15-1242,Database Administrators,1400,0.484,115970,119940
21,Colorado,CO,2,15-1243,Database Architects,2140,0.74,152940,151460
22,Colorado,CO,2,15-2051,Data Scientists,6750,2.334,118250,106500
23,Colorado,CO,2,43-9021,Data Entry Keyers,2040,0.705,48040,45560
24,Connecticut,CT,2,15-1242,Database Administrators,770,0.457,103400,101990
25,Connecticut,CT,2,15-1243,Database Architects,700,0.414,147910,147400
26,Connecticut,CT,2,15-2051,Data Scientists,1630,0.972,120270,109960
27,Connecticut,CT,2,43-9021,Data Entry Keyers,890,0.528,47480,46020
28,Delaware,DE,2,15-1242,Database Administrators,730,1.534,105850,100240
29,Delaware,DE,2,15-1243,Database Architects,**,**,150060,146430
30,Delaware,DE,2,15-2051,Data Scientists,540,1.129,*,*
31,Delaware,DE,2,43-9021,Data Entry Keyers,530,1.105,39050,37190
32,District of Columbia,DC,2,15-1242,Database Administrators,550,0.774,120470,128440
33,District of Columbia,DC,2,15-1243,Database Architects,800,1.123,158550,157080
34,District of Columbia,DC,2,15-2051,Data Scientists,3580,5.047,148170,137120
35,District of Columbia,DC,2,43-9021,Data Entry Keyers,320,0.457,57560,51860
36,Florida,FL,2,15-1242,Database Administrators,4080,0.416,102900,97900
37,Florida,FL,2,15-1243,Database Architects,2040,0.208,138280,133040
38,Florida,FL,2,15-2051,Data Scientists,9480,0.965,117670,105820
39,Florida,FL,2,43-9021,Data Entry Keyers,9280,0.945,39620,38100
40,Georgia,GA,2,15-1242,Database Administrators,3020,0.623,105590,106100
41,Georgia,GA,2,15-1243,Database Architects,2930,0.603,141590,135280
42,Georgia,GA,2,15-2051,Data Scientists,7730,1.591,111020,102630
