OCC_CODE,Occupation,Location,Average_Salary,Median_Salary,Total_Jobs,A_MEAN_suppressed,A_MEDIAN_suppressed,TOT_EMP_suppressed,Location_Type,Year,Data_Source
15-1240,Database and Network Administrators and Architects,United States,115840.0,107480.0,633540.0,False,False,False,National,2024,BLS OEWS
15-1242,Database Administrators,United States,107440.0,104620.0,73180.0,False,False,False,National,2024,BLS OEWS
15-1243,Database Architects,United States,142620.0,135980.0,64770.0,False,False,False,National,2024,BLS OEWS
15-2050,Data Scientists,United States,124590.0,112590.0,233440.0,False,False,False,National,2024,BLS OEWS
15-2051,Data Scientists,United States,124590.0,112590.0,233440.0,False,False,False,National,2024,BLS OEWS
43-9020,Data Entry and Information Processing Workers,United States,43680.0,41480.0,171310.0,False,False,False,National,2024,BLS OEWS
43-9021,Data Entry Keyers,United States,42070.0,39850.0,135280.0,False,False,False,National,2024,BLS OEWS
15-1242,Database Administrators,Alabama,92930.0,88560.0,1990.0,False,False,False,State,2024,BLS OEWS
15-1243,Database Architects,Alabama,117510.0,111330.0,310.0,False,False,False,State,2024,BLS OEWS
15-2051,Data Scientists,Alabama,102970.0,105410.0,1620.0,False,False,False,State,2024,BLS OEWS
43-9021,Data Entry Keyers,Alabama,35050.0,33670.0,1110.0,False,False,False,State,2024,BLS OEWS
15-1242,Database Administrators,Alaska,96600.0,93180.0,90.0,False,False,False,State,2024,BLS OEWS
15-1243,Database Architects,Alaska,111570.0,113800.0,40.0,False,False,False,State,2024,BLS OEWS
15-2051,Data Scientists,Alaska,88690.0,77400.0,210.0,False,False,False,State,2024,BLS OEWS
43-9021,Data Entry Keyers,Alaska,45230.0,42050.0,210.0,False,False,False,State,2024,BLS OEWS
15-1242,Database Administrators,Arizona,97340.0,96320.0,1330.0,False,False,False,State,2024,BLS OEWS
15-1243,Database Architects,Arizona,135080.0,130620.0,850.0,False,False,False,State,2024,BLS OEWS
15-2051,Data Scientists,Arizona,112460.0,106080.0,4080.0,False,False,False,State,2024,BLS OEWS
43-9021,Data Entry Keyers,Arizona,44070.0,42800.0,3750.0,False,False,False,State,2024,BLS OEWS
15-1242,Database Administrators,Arkansas,82780.0,79710.0,600.0,False,False,False,State,2024,BLS OEWS
15-1243,Database Architects,Arkansas,109380.0,101000.0,330.0,False,False,False,State,2024,BLS OEWS
15-2051,Data Scientists,Arkansas,104560.0,104320.0,470.0,False,False,False,State,2024,BLS OEWS
43-9021,Data Entry Keyers,Arkansas,36760.0,34840.0,880.0,False,False,False,State,2024,BLS OEWS
15-1242,Database Administrators,California,119060.0,111090.0,8360.0,False,False,False,State,2024,BLS OEWS
